;;Название категории в 1-с;Цена
;RU PUR Gourmet A la Carte 85g;;
;12402020;GOURMET ALCTE GiG Bf&Veg Pch 24x85g PRRU;27,71
;12242376;GOURMET ALCTE ГовОвощ Вподл Pch24x85g RU;27,71
;12401939;GOURMET ALCTE GiG Trky&VegPch 24x85gPRRU;27,71
;12242389;GOURMET ALCTE Инд/Овщ Вподл Pch24x85g RU;27,71
;12402116;GOURMET ALCTE GiGChkn&PastaPch24x85gPRRU;27,71
;12242400;GOURMET ALCTE Кур/Мак в подл Pch24x85g R;27,71
;12402118;GOURMET ALCTE GiG Smn&VegPch24x85gPRRU;27,71
;12242394;GOURMET ALCTE Лос/Овощ в подл 24x85g RU;27,71
;12402115;GRMT ALCTE GiG Poultry&VegPch24x85gPRRU;27,71
;12266707;GRMT ALCTE ГвП ДомПтиц&Овощ 24x85г RU;27,71
;RU PUR Gourmet Perle 85g;;
;12377532;GOURMET PRLE Соус делюкс Телятина 24x85g;27,71
;12377531;GOURMET PRLE Соус делюкс Лосось 24x85g;27,71
;12377534;GOURMET PRLE Соус делюкс Курица 24x85g;27,71
;12377533;GOURMET PRLE Соус делюкс Говядина 24x85g;27,71
;12402026;GOURMET PERLE GiG Lamb Pch 24x85g PR RU;27,71
;12215290;GOURMET PERLE ГвП Ягненок 24x85г;27,71
;12401973;GOURMET PERLE GiG Beef Pch 24x85g PR RU;27,71
;12215233;GOURMET PERLE КусВПодл Говяд 24x85гN1;27,71
;12402023;GOURMET PERLE GiG Chkn Pch 24x85g PR RU;27,71
;12222445;GOURMET PRLE ГвП конскур RuFPch24x85gN1X;27,71
;12402022;GOURMET PERLE GiG Smn Pch 24x85g PR RU;27,71
;12222480;GOURMET PRLEКонсвПодлЛосRuFrPch24x85gN1X;27,71
;12402025;GOURMET PERLE GiG Duck Pch 24x85g PR RU;27,71
;12222486;GOURMET PRLEКонсвПодлУткRuFrPch24x85gN1X;27,71
;12316382;GOURMET PERLE Говяд&Морк 85г (24) Нов Год;27,71
;12402024;GOURMET PERLE GiG Trky Pch 24x85g PR RU;27,71
;12222524;ГУРМЕ ПЕРЛ ШвП РуФр Индейка 24x85гN1X8;27,71
;RU PUR Gourmet Gold 85g;;
;12109500;GOURMET GOLD Конс Д/К ФорельОвощи 24x85g;36,72
;12109424;GOURMET GOLD Конс Д/К ЦыпленЛосось24х85г;36,72
;12130919;GOURMET GOLD КонсД/К КурицаПечень 24x85g;36,72
;12254211;GOURMET GOLD Кролик 24x85г PR ST X8;36,72
;12383453;GOURMET GOLD Sauce Delight Chkn12x85g RU;36,72
;12383454;GOURMET GOLD Sauce Delight Beef12x85g RU;36,72
;12215249;GOURMET GOLD Мусс Говядина 24x85г;36,72
;12254204;GRMT GOLD HsCC Dck & Crt & Spin 85г (24) N1 X8;36,72
;12032395;ГУРМЭ ГОЛД Конс Д/К Дуо Кролик Печень 85г (24);36,72
;12032394;ГУРМЭ ГОЛД ДуоУтка&Индейка 24х85г;36,72
;12182548;GOURMET GOLD Паштет Кролик 24x85г X8;36,72
;12307070;GOURMET GOLD Паштет Курица 12x85г;36,72
;12032392;ГУРМЭ ГОЛД Паштет Индейка 24х85г ;36,72
;12032582;GOURMET GOLD Паштет Курица 24х85г;36,72
;12307049;GOURMET GOLD Паштет Тунец 12x85г;36,72
12358184;12356872;GOURMET GOLD Kitten Mse Veal 12x85g XG;36,72
;RU PUR GOURMET Savoury Cake 85g;;
;12296420;GOURMET Gold НежныеБит Гов&Том 12x85г ;36,72
;12296406;GOURMET Gold НежныеБит Инд&Шпин 12x85г;36,72
;12296405;GOURMET Gold НежныеБит Кур&Морк 12x85г ;36,72
;12296407;GOURMET Gold НежныеБит Ягн&Фас 12x85г ;36,72
;RU PUR Gourmet Melting Heart 85g;;
;12348198;Гурмэ Голд Нежная Начинка Говядина 12х85;36,72
;12348455;Гурмэ Голд Нежная Начинка Курица 12х85;36,72
12364162;12348472;Гурмэ Голд Нежная Начинка Лосось 12х85;36,72
12364161;12348458;Гурмэ Голд Нежная Начинка Тунец 12х85;36,72
;RU PUR Gourmet Souffle 85g;;
;12376365;GOURMET GOLD CiG Duck&Olive 12x85g RU;36,72
;12376364;GOURMET GOLD Mse Lamb&Grnb 12X85g RU;36,72
;12376363;GOURMET GOLD Mse Trout&Tomato 12X85g RU;36,72
;RU PUR PURINA ONE My Dog Is 100g;;
12373220;12351855;ONE MINI Чувств Лосось24х100гN1RU;28,19
;12322269;ONE МИНИ Взрослая Кур Мор&Фас 24x100гRU;28,19
;12351748;ONE МояСоб Взрос Гов Карт&Гор 20x100гRU;28,19
;12263869;ONE МояСоб Взрос Гов Карт&Гор 20x100гRU;28,19
;12263890;ONE МояСоб Взрос Кур Мор&Фас 20x100гRU;28,19
;12324108;ONE МояСоб ЛюбЕст Инд Мор&Гор 24х100гRU;28,19
;12322248;ONE МояСоб ЛюбЕст Инд Мор&Гор 24х100гRU;28,19
;12263866;ONE МояСоб ЛюбЕст Инд Мор&Гор 24х100гRU;28,19
;12351853;ONE МояСоб ЛюбЕст Инд Мор&Гор 24х100гRU;28,19
;12322245;ONE МояСоб ЛюбЕст Кур Рис&Том 24х100гRU;28,19
;12263865;ONE МояСоб ЛюбЕст Кур Рис&Том 24х100гRU;28,19
;12351854;ONE МояСоб ЛюбЕст Кур Рис&Том 24х100гRU;28,19
;12324371;ONE МояСоб Непосед Гов Кар&Мор 24x100гRU;28,19
;12322243;ONE МояСоб Непосед Гов Кар&Мор 24x100гRU;28,19
;12351749;ONE МояСоб Непосед Гов Кар&Мор 24x100гRU;28,19
;12324158;ONE МИНИ Активная Утк Пас&Фас 24x100гRU;28,19
;12351851;ONE МИНИ Активная Утк Пас&Фас 24x100гRU;28,19
;12322246;ONE МИНИ Чувствит ЛосРис&Мор 24x100гRU;28,19
;12322269;ONE МИНИ Взрослая Кур Мор&Фас 24x100гRU;28,19
;RU PUR Gourmet MonPetit 50g;;
12402111;12287078;GOURMET MON PETIT Говяд 30x50г RU;18,32
;12287077;GOURMET MON PETIT Ягнен 30x50г RU;18,32
;12287079;GOURMET MON PETIT Лосось 30x50г RU;18,32
12402113;12287007;GOURMET MON PETIT Курица 30x50г RU;18,32
